var_base,table,worker_type,sex,row_number,occupation_label,occupation_level,is_median_earnings_row
S2411_C03_034,S2411,All civilian workers,Female,034,Production occupations,Subtotal,True
S2411_C03_035,S2411,All civilian workers,Female,035,Transportation occupations,Subtotal,True
S2411_C03_036,S2411,All civilian workers,Female,036,Material moving occupations,Subtotal,True
S2411_C04_001,S2411,All civilian workers,Female % of Male,001,Civilian employed population 16 years and over with earnings,Ratio,False
S2411_C04_002,S2411,All civilian workers,Female % of Male,002,"Management, business, science, and arts occupations",Ratio,False
S2411_C04_003,S2411,All civilian workers,Female % of Male,003,"Management, business, and financial occupations",Ratio,False
S2411_C04_004,S2411,All civilian workers,Female % of Male,004,Management occupations,Ratio,False
S2411_C04_005,S2411,All civilian workers,Female % of Male,005,Business and financial operations occupations,Ratio,False
S2411_C04_006,S2411,All civilian workers,Female % of Male,006,"Computer, engineering, and science occupations",Ratio,False
S2411_C04_007,S2411,All civilian workers,Female % of Male,007,Computer and mathematical occupations,Ratio,False
S2411_C04_008,S2411,All civilian workers,Female % of Male,008,Architecture and engineering occupations,Ratio,False
S2411_C04_009,S2411,All civilian workers,Female % of Male,009,"Life, physical, and social science occupations",Ratio,False
S2411_C04_010,S2411,All civilian workers,Female % of Male,010,"Education, legal, community service, arts, and media occupations",Ratio,False
S2411_C04_011,S2411,All civilian workers,Female % of Male,011,Community and social service occupations,Ratio,False
S2411_C04_012,S2411,All civilian workers,Female % of Male,012,Legal occupations,Ratio,False
S2411_C04_013,S2411,All civilian workers,Female % of Male,013,"Educational instruction, and library occupations",Ratio,False
S2411_C04_014,S2411,All civilian workers,Female % of Male,014,"Arts, design, entertainment, sports, and media occupations",Ratio,False
S2411_C04_015,S2411,All civilian workers,Female % of Male,015,Healthcare practitioners and technical occupations,Ratio,False
S2411_C04_016,S2411,All civilian workers,Female % of Male,016,Health diagnosing and treating practitioners and other technical occupations,Ratio,False
